Departure station (id);Departure station;Arrival station (id);Arrival station;Length
733;LIERS;835;MILMORT;2.5049803987003303
743;LISSEWEGE;1262;ZEEBR-DORP;3.99772472835066
201;BRACQUEGNIES;1136;THIEU;2.04694201280507
153;BIERGES-WAL;739;LIMAL;2.23500149831494
328;DILBEEK;488;G-BIJGAARDEN;2.20379730908584
743;LISSEWEGE;1723;ZEEBR-STRAND;3.3758033807868
1084;ST-MARIABURG;819;MELSELE;33.8572847340224
402;FLEMALLE-HTE;705;LEMAN;0.818782784193107
819;MELSELE;1084;ST-MARIABURG;33.8572847340224
759;LOT;1021;RUISBROEK;3.37992084527007
1194;VIRTON;502;HALANZY;16.6111227739425
592;HUY;1102;STATTE;1.1808527153497
199;BOUWEL;907;NIJLEN;5.85481554905203
807;MAUBRAY;246;CALLENELLE;3.12320672878648
1084;ST-MARIABURG;1278;ZWIJNDRECHT;34.518609434523505
369;ERQUELINNES;371;ERQUEL-VILL;1.33171435080629
114;BARVAUX;818;MELR-HOTTON;8.6254184264816
1061;SCHULEN;636;KIEWIT;12.7986623585388
457;GENVAL;997;RIXENSART;1.8764698244967601
291;COUVIN;798;MARIEMBOURG;5.24895816130638
318;DENDERLEEUW;600;IDDERGEM;1.89724377723968
962;PIETON;250;CARNIERES;2.3463443377611304
902;NEUFVILLES;805;MASNUY-ST-P;3.65473290062456
404;FLEURUS;82;AUVELAIS;9.351732190184642
567;HEVERLEE;941;OUD-HEVERLEE;4.27256433370117
24;AMPSIN;592;HUY;4.27848800719017
470;GLONS;733;LIERS;7.21386401964768
1272;ZINGEM;434;GAVERE-ASPER;2.45163376229098
750;LOMMEL;1666;OVERPELT;7.88020701392755
936;OTTIGNIES;975;PROFONDSART;2.87523894227314
975;PROFONDSART;997;RIXENSART;2.56976699140769
788;MARCHE-FAM;801;MARLOIE;3.14992625492155
1048;SCHAERBEEK;325;DIEGEM;6.72025706808927
1244;WILDERT;376;ESSEN;4.00529035906362
75;ASSESSE;287;COURRIERE;2.90683407644085
375;ESNEUX;579;HONY;1.1871316938918701
