stationId,stationName,latitude,longitude
807,MAUBRAY,50.5473596412106,3.496016879443089
868,MOUSCRON,50.71428726455946,3.24481180953509
364,ERBISOEUL,50.5078636253228,3.888447711073653
412,FONTAINE-VAL,50.32086424659956,4.211513539319487
1274,ZOTTEGEM,50.9008046268035,3.805776390974753
1018,ROUX,50.41221701003429,4.394312434115766
70,ARLON,49.679971210545986,5.810609705951412
519,HARCHIES,50.505954521715246,3.665705919777668
1088,SINT-NIKLAAS,51.15105293420193,4.088971325808105
1670,GENK,50.967071021620654,5.498086693151217
1131,TERNAT,50.882398692140114,4.115166601057234
970,PONT-CELLES,50.50601206060287,4.384250449864731
257,CHAPOIS,50.24958547235042,5.193879552914659
648,KORTENBERG,50.89654505809275,4.584930600736928
862,MORLANWELZ,50.45819475895926,4.247606842005879
726,LIEGE-GUILL,50.64016117047732,5.561580820714436
539,HEIDE,51.37923641584364,4.46729432332813
1192,VILVOORDE,50.92414359820823,4.432813750239993
317,DEINZE,50.89242835003542,3.42559831780833
617,ROCH-JEMELLE,50.13309074777786,5.276553146611916
1159,TROOZ,50.57328744502597,5.688448772904131
1202,VOROUX,50.6606950187532,5.431053889364091
1186,VIJFHUIZEN,50.94318180227395,3.982544127196197
958,PERUWELZ,50.527311586615326,3.52627807067376
2089,ANDERLECHT,50.817918890620895,4.29153935389493
1245,WILLEBROEK,51.07712360025247,4.283513007479717
31,ANS,50.62555824033023,5.565379651677736
1076,ST-D-BOEKEL,50.874198889945404,3.698421279546744
127,BEERNEM,51.15421490987769,3.2576261536212
1195,VISE,50.74035513796187,5.692281362498221
449,GENT-DAMP,51.056728987048956,3.740515250330524
19,ALKEN,50.8864002359279,5.291749444935054
952,PAPIGNIES,50.68765508735206,3.824299419853784
61,ANTW-OOST,51.23174780746617,4.426375562246656
1079,RHODE-ST-G,50.73924115834703,4.370342368877122
470,GLONS,50.750527352637484,5.535236934399883
610,JAMBES-EST,50.429043271156736,4.884234567177583
1368,HAMONT,51.24610100168093,5.541909994902331
1017,RUISBR-SAUV,51.081104584314794,4.326980819832666
604,INGELMUNSTER,50.91484341700642,3.254708319352296
812,MEISER,50.83993055395837,4.399590549118575
764,LUCHTBAL,51.24356131845809,4.424880242352097
1278,ZWIJNDRECHT,51.29267549635015,4.434565179715651
632,KAPELLEN,51.31359271091834,4.432805301554851
1843,EVERGEM,51.10754309685516,3.701533161896774
169,BLATON,50.505954521715246,3.665705919777668
897,NATOYE,50.343363707549074,5.061281004187229
155,BIERSET-AW,50.65843789782589,5.460786562650455
313,DAVE-ST-MART,50.41937412405278,4.930310430445866
1139,THUIN,50.34631966923858,4.260948846223771
351,EKE-NAZARETH,50.998952524822585,3.655383901672195
30,ANTW-HAVEN,51.29142802003464,4.379600947849866
1082,ST-JOR-WEERT,50.80129671879586,4.651860787104162
991,REMICOURT,50.6699148465472,5.36759988654996
247,CAMBRON-CAST,50.58696925909202,3.873974629508699
1087,ST-M-BODEGEM,50.8671660562188,4.2049393203133
1150,TOLLEMBEEK,50.73542702057838,3.9928810402315
1031,ST-D-BOVESSE,50.521297001857974,4.76779199510279
278,COMINES,50.847477690810365,2.876886293135154
1177,VERVIERS-C,50.587801914284064,5.854635277252846
563,HERZELE,50.89692470109805,3.879519908406243
380,ETTERBEEK,50.82130755990269,4.390498719444376
110,BAMBRUGGE,50.90690477967195,3.920956497963409
171,BLERET,50.67864345114512,5.321422014482168
227,BRUX-SCHUMAN,50.842848617923735,4.38002358578311
229,BUDA,50.92414359820823,4.432813750239993
188,BOOM,51.11082441141632,4.340335935016783
685,LANDSKOUTER,50.97984015695545,3.801555019043833
142,BERLAAR,51.113708437795054,4.638257975914393
16,AISEAU,50.42954055375694,4.58437648551442
121,SILLY,50.627030183302196,3.776393685659922
750,LOMMEL,51.215549622947385,5.423126886234479
686,LANGDORP,51.00246923181287,4.863538493784459
