Departure station (id);Departure station;Arrival station (id);Arrival station;Length;geo_point_2d
1060;SCHOONAARDE;938;OUDEGEM;3.8163107819225;51.00893719136349, 4.036850218912
637;KIJKUIT;630;KALMTHOUT;1.1693627786521599;51.384488432699555, 4.467015017504103
133;BEIGNEE;514;HAM-S-HEURE;1.4245733679658399;50.32687164338198, 4.406340041571731
368;ERPS-KWERPS;1174;VELTEM;3.44921306312771;50.89857763407665, 4.609220760673716
664;LABUISSIERE;412;FONTAINE-VAL;1.8562334767866902;50.31823789261201, 4.199083068794854
319;DENDERMONDE;102;BAASRODE-ZD;3.75975101673125;51.021873267927205, 4.127624198665662
1265;ZELE;748;LOKEREN;6.28603967017478;51.08892833226516, 4.0070761576766945
496;HABAY;786;MARBEHAN;7.1196425169536495;49.72006755005623, 5.584804380729875
560;HERSEAUX;427;FROYENNES;12.3333024539848;50.670343982346076, 3.2990270505493813
105;BALEGEM-DORP;106;BALEGEM-ZUID;2.38045609791264;50.91064893355483, 3.7987269402949035
382;EUPEN;1226;WELKENRAEDT;5.92286698048543;50.65271578263948, 6.007031750927324
348;EINE;1272;ZINGEM;4.80271084601572;50.88894216962507, 3.636819546196751
1224;WEERDE;363;EPPEGEM;2.317992142068;50.967860964143306, 4.464348538981805
58;ANTW-N'DOK'N;764;LUCHTBAL;2.0413438005841997;51.25263050395021, 4.4259285960657655
559;HERNE;1150;TOLLEMBEEK;2.01737848761227;50.73017085381513, 4.003981409981234
1018;ROUX;791;MARCH-AU-PT;3.52321021350737;50.42714231186055, 4.392833378267411
392;FARCIENNES;700;CAMPINAIRE;0.940344439715458;50.425966391554645, 4.548044876860959
532;HAVERSIN;100;AYE;9.32411571935758;50.24284182669195, 5.24824099073428
255;CHAP-DIEU;438;GEMBLOUX;1.83128787667431;50.564911213619865, 4.697481231536533
266;CHENEE;267;CH'DFONTAINE;3.44558844559281;50.597680885706325, 5.62992176991043
1256;ZANDBERGEN;601;IDEGEM;2.66866093009551;50.80592740590775, 3.938906753765522
699;LEBBEKE;1730;SINT-GILLIS;2.3003490027805302;51.01315556592019, 4.125793677975539
1113;SY;185;BOMAL;3.66520060494182;50.38935630291319, 5.5287104335586195
797;MARIA-AALTER;127;BEERNEM;4.5816677317088;51.11777954316044, 3.358283812208117
351;EKE-NAZARETH;320;DE PINTE;4.81092171837891;50.98318142175888, 3.638158155954317
768;LUTTRE;286;COURC-MOTTE;5.51354406189795;50.485676323583334, 4.393170986841423
1180;VERVIERS-PAL;1177;VERVIERS-C;0.864574182428276;50.58995777492805, 5.859753880580933
615;JEMAPPES;979;QUAREGNON;2.13666268969413;50.45171302193967, 3.87033088943423
565;HEUSDEN;1348;BERINGEN;3.4859826650309;51.042889432202536, 5.257883819137972
957;PEPINST-CITE;629;JUSLENVILLE;2.66680306405604;50.555683491249226, 5.808829579903468
1079;RHODE-ST-G;578;HOLLEKEN;2.1774712695498804;50.75787040982693, 4.3588945877882725
243;BERCHEM-ST-A;621;JETTE;3.17825665118003;50.87871378519017, 4.311438482903143
540;HEIST;337;DUINBERGEN;1.63144968763091;51.33639843607778, 3.251684512053289
380;ETTERBEEK;1973;GERMOIR;1.36804177277411;50.826251400601976, 4.384624518199455
637;KIJKUIT;539;HEIDE;1.61098002352575;51.37217997721423, 4.464460686092282
104;AALST-KERREB;6;AALST;1.1578295747566698;50.9461633691515, 4.03186538737594
1979;TOUR-TAXIS;1768;SIMONIS;0.778884242355081;50.8687715026093, 4.337505332048166
519;HARCHIES;1187;V-POMMEROEUL;2.6458555457356403;50.47309900381949, 3.7117451807857997
617;ROCH-JEMELLE;801;MARLOIE;5.9602406037975895;50.18105560211271, 5.291000616133162
209;BRUGELETTE;832;MEVERG-ATTRE;1.5782165296289699;50.597117293804565, 3.8429302734242388
748;LOKEREN;130;BEERVELDE;7.73170875151176;51.09639616928983, 3.932885905460372
1076;ST-D-BOEKEL;873;MUNKZWALM;2.34704192749606;50.87540572177245, 3.714964985339025
1068;SERSKAMP;1058;SCHELLEBELLE;3.44278611719614;50.994616153568415, 3.9406721162679967
868;MOUSCRON;560;HERSEAUX;3.51888751713172;50.72496486336471, 3.229394150576864
1139;THUIN;744;LOBBES;2.0753576163042498;50.34438606606721, 4.274941593651165
286;COURC-MOTTE;1018;ROUX;2.17882448001213;50.452892387306186, 4.3963872274394875
1135;THEUX;423;FRANCHIMONT;1.38166837331015;50.53049135735151, 5.818381708828037
1234;WETTEREN;1058;SCHELLEBELLE;2.79693611845541;51.003030105856986, 3.901635934398254
784;MANAGE;471;GODARVILLE;4.44363329589168;50.49596930218277, 4.2617299904301635
442;GENDRON-CELL;589;HOUYET;4.8105261614507695;50.200100697368256, 4.984383024443197
636;KIEWIT;1061;SCHULEN;12.7986623585389;50.949803701957265, 5.268873368540411
146;BERTRIX;723;LIBRAMONT;12.0822139473706;49.8885036848054, 5.319989834944906
973;POPERINGE;602;IEPER;10.1349721111696;50.85289731904728, 2.807292532005671
1195;VISE;1151;TONGEREN;21.773670616596903;50.754675635568084, 5.598680491998394
9;AARSCHOT;1238;WEZEMAAL;6.32441236336817;50.969357669907055, 4.786443402414151
58;ANTW-N'DOK'N;819;MELSELE;36.2720004391276;51.26876976864244, 4.307806098595592
1181;VEURNE;327;DIKSMUIDE;15.182164105215499;51.052935303344675, 2.7705896064652054
378;ESSENE-LOMB;725;LIEDEKERKE;1.40213173817226;50.88252875988961, 4.105217838600503
320;DE PINTE;455;GENT-ST-P;6.53827221648006;51.022280186013425, 3.6816295124034935
733;LIERS;835;MILMORT;2.5049803987003303;50.69757282201379, 5.583758764702331
743;LISSEWEGE;1262;ZEEBR-DORP;3.99772472835066;51.31314022286867, 3.191058974281943
201;BRACQUEGNIES;1136;THIEU;2.04694201280507;50.47199939258656, 4.112412231723654
153;BIERGES-WAL;739;LIMAL;2.23500149831494;50.7004793448538, 4.584895751191923
328;DILBEEK;488;G-BIJGAARDEN;2.20379730908584;50.8669756731505, 4.259041971082232
743;LISSEWEGE;1723;ZEEBR-STRAND;3.3758033807868;51.30969665072242, 3.190500507577958
1084;ST-MARIABURG;819;MELSELE;33.8572847340224;51.26875713758405, 4.299909934508523
402;FLEMALLE-HTE;705;LEMAN;0.818782784193107;50.59677830803122, 5.460998488646895
819;MELSELE;1084;ST-MARIABURG;33.8572847340224;51.26875713758405, 4.299909934508523
759;LOT;1021;RUISBROEK;3.37992084527007;50.77818963112536, 4.284333856944451
1194;VIRTON;502;HALANZY;16.6111227739425;49.55300752196852, 5.629743960275536
592;HUY;1102;STATTE;1.1808527153497;50.52632679475918, 5.226778418301167
199;BOUWEL;907;NIJLEN;5.85481554905203;51.16269568380298, 4.706031044187195
807;MAUBRAY;246;CALLENELLE;3.12320672878648;50.53744979683782, 3.511231787422089
1084;ST-MARIABURG;1278;ZWIJNDRECHT;34.518609434523505;51.26751243216899, 4.3007889734052975
369;ERQUELINNES;371;ERQUEL-VILL;1.33171435080629;50.30694493185445, 4.121867129525009
114;BARVAUX;818;MELR-HOTTON;8.6254184264816;50.31801177472987, 5.470189338664005
1061;SCHULEN;636;KIEWIT;12.7986623585388;50.949803701957265, 5.268873368540411
457;GENVAL;997;RIXENSART;1.8764698244967601;50.72018770729717, 4.522482571295309
291;COUVIN;798;MARIEMBOURG;5.24895816130638;50.076903972592895, 4.512845206671124
318;DENDERLEEUW;600;IDDERGEM;1.89724377723968;50.884740575009296, 4.073009996718941
